SAVANNAH,GA                     ,9,6,2,*,0,0,0,0,0,*,2,8,27
HILO,HI                         ,0,0,0,0,0,0,0,0,0,0,0,0,0
HONOLULU,HI                     ,0,0,0,0,0,0,0,0,0,0,0,0,0
KAHULUI,HI                      ,0,0,0,0,0,0,0,0,0,0,0,0,0
LIHUE,HI                        ,0,0,0,0,0,0,0,0,0,0,0,0,0
BOISE,ID                        ,26,21,16,7,2,*,0,0,*,5,17,25,120
LEWISTON,ID                     ,20,16,11,3,*,0,0,0,*,3,12,21,86
POCATELLO,ID                    ,29,25,25,15,4,*,0,*,3,14,24,28,166
CHICAGO,IL                      ,29,25,21,7,1,0,0,0,*,4,16,26,128
MOLINE,IL                       ,29,26,21,7,*,0,0,0,*,5,18,27,134
PEORIA,IL                       ,29,25,19,5,*,0,0,0,*,4,16,26,125
ROCKFORD,IL                     ,30,26,23,8,1,0,0,0,*,6,19,28,142
SPRINGFIELD,IL                  ,27,23,17,4,*,0,0,0,*,3,14,24,111
EVANSVILLE,IN                   ,24,20,13,2,*,0,0,0,0,2,13,21,96
FORT WAYNE,IN                   ,28,25,21,8,1,0,0,0,*,5,16,26,130
INDIANAPOLIS,IN                 ,27,23,17,5,*,0,0,0,*,3,14,24,114
SOUTH BEND,IN                   ,28,25,22,9,1,0,0,0,*,4,16,26,131
DES MOINES,IA                   ,30,26,21,6,*,0,0,0,*,4,18,28,134
DUBUQUE,IA                      ,30,27,24,9,1,0,0,0,*,7,20,29,147
SIOUX CITY,IA                   ,31,27,24,9,1,0,0,0,1,8,23,30,153
WATERLOO,IA                     ,31,27,24,11,1,0,0,0,1,9,22,29,155
CONCORDIA,KS                    ,29,24,18,4,*,0,0,0,*,3,17,27,123
DODGE CITY,KS                   ,29,24,18,5,*,0,0,0,*,3,18,28,126
GOODLAND,KS                     ,30,27,25,12,2,*,0,0,1,8,24,30,157
TOPEKA,KS                       ,29,23,17,4,*,0,0,0,*,3,16,26,119
WICHITA,KS                      ,28,22,14,3,*,0,0,0,*,1,14,26,108
JACKSON,KY                      ,22,18,12,2,*,0,0,0,0,1,8,17,80
LEXINGTON,KY                    ,23,20,14,3,*,0,0,0,*,2,11,20,93
LOUISVILLE,KY                   ,23,19,12,2,*,0,0,0,0,1,9,19,85
PADUCAH,KY                      ,24,18,11,2,0,0,0,0,0,2,11,20,87
BATON ROUGE,LA                  ,8,4,1,*,0,0,0,0,0,*,2,6,20
LAKE CHARLES,LA                 ,6,3,1,0,0,0,0,0,0,*,1,4,14
NEW ORLEANS,LA                  ,4,2,*,*,0,0,0,0,0,0,1,3,11
SHREVEPORT,LA                   ,12,7,2,*,0,0,0,0,0,*,3,9,33
CARIBOU,ME                      ,31,28,29,22,5,*,0,0,3,14,25,30,185
PORTLAND,ME                     ,30,27,26,13,2,0,0,0,1,8,19,28,153
BALTIMORE,MD                    ,24,21,14,3,*,0,0,0,0,1,10,21,94
BLUE HILL,MA                    ,28,26,23,8,*,0,0,0,*,3,14,25,128
BOSTON,MA                       ,26,23,17,2,0,0,0,0,0,*,7,21,97
WORCESTER,MA                    ,29,26,25,9,*,0,0,0,*,4,16,27,137
ALPENA,MI                       ,30,28,28,20,7,1,0,*,2,11,21,29,177
DETROIT,MI                      ,28,26,22,8,1,0,0,0,*,4,15,25,129
FLINT,MI                        ,29,26,24,11,2,0,0,0,*,6,17,27,143
